n,tau,omega,num_spaces,time,split
6,4,2,0,0.0004,"[]"
7,2,1,0,0.0007,"[]"
9,3,1,0,0.0006,"[]"
10,4,2,0,0.0007,"[]"
11,2,1,1,0.0006,"[1]"
12,6,2,0,0.0004,"[]"
13,2,1,0,0.0004,"[]"
14,4,2,1,0.0005,"[1]"
15,4,2,1,0.0005,"[1]"
16,5,1,0,0.0004,"[]"
17,2,1,1,0.0006,"[1]"
18,6,2,0,0.0004,"[]"
19,2,1,1,0.0005,"[1]"
20,6,2,1,0.0006,"[1]"
21,4,2,1,0.0005,"[1]"
22,4,2,0,0.0004,"[]"
23,2,1,1,0.0009,"[2]"
24,8,2,1,0.0007,"[1]"
25,3,1,0,0.0004,"[]"
26,4,2,2,0.0007,"[1,1]"
27,4,1,1,0.0006,"[1]"
28,6,2,0,0.0006,"[]"
29,2,1,1,0.0008,"[2]"
30,8,3,1,0.0009,"[1]"
31,2,1,1,0.0008,"[2]"
32,6,1,1,0.0007,"[1]"
33,4,2,1,0.0008,"[1]"
34,4,2,1,0.0008,"[1]"
35,4,2,2,0.0009,"[1,2]"
36,9,2,1,0.0008,"[1]"
37,2,1,2,0.0006,"[1,1]"
38,4,2,2,0.0009,"[1,1]"
39,4,2,2,0.0011,"[1,2]"
40,8,2,1,0.001,"[1]"
41,2,1,1,0.0009,"[3]"
42,8,3,1,0.0011,"[1]"
43,2,1,2,0.001,"[1,2]"
44,6,2,1,0.001,"[1]"
45,6,2,1,0.0008,"[1]"
46,4,2,1,0.001,"[1]"
47,2,1,1,0.0011,"[4]"
48,10,2,1,0.0011,"[1]"
49,3,1,1,0.0006,"[1]"
50,6,2,2,0.0008,"[1,1]"
51,4,2,2,0.0013,"[1,2]"
52,6,2,1,0.0011,"[1]"
53,2,1,2,0.0012,"[1,3]"
54,8,2,2,0.0011,"[1,1]"
55,4,2,2,0.0012,"[1,2]"
56,8,2,2,0.001,"[1,1]"
57,4,2,3,0.0013,"[1,1,1]"
58,4,2,2,0.001,"[1,1]"
59,2,1,1,0.0011,"[5]"
60,12,3,0,0.0012,"[]"
61,2,1,2,0.001,"[1,3]"
62,4,2,2,0.0015,"[1,2]"
63,6,2,2,0.0013,"[1,2]"
64,7,1,1,0.0011,"[1]"
65,4,2,3,0.0014,"[1,2,2]"
66,8,3,3,0.002,"[1,1,1]"
67,2,1,3,0.0013,"[1,2,2]"
68,6,2,1,0.0017,"[2]"
69,4,2,2,0.0016,"[1,2]"
70,8,3,1,0.0015,"[1]"
71,2,1,2,0.0015,"[3,3]"
72,12,2,1,0.0017,"[1]"
73,2,1,3,0.0013,"[1,2,2]"
74,4,2,2,0.0017,"[2,2]"
75,6,2,3,0.0015,"[1,1,1]"
76,6,2,1,0.0018,"[1]"
77,4,2,4,0.0015,"[1,1,1,2]"
78,8,3,1,0.0021,"[1]"
79,2,1,2,0.0014,"[1,5]"
80,10,2,2,0.0016,"[1,1]"
81,5,1,1,0.0014,"[2]"
82,4,2,2,0.0019,"[1,2]"
83,2,1,2,0.0015,"[1,6]"
84,12,3,2,0.0022,"[1,1]"
85,4,2,3,0.0016,"[1,2,2]"
86,4,2,2,0.0019,"[2,2]"
87,4,2,2,0.0018,"[2,3]"
88,8,2,2,0.0025,"[1,2]"
89,2,1,3,0.0016,"[1,1,5]"
90,12,3,3,0.0024,"[1,1,1]"
91,4,2,4,0.0016,"[1,1,2,3]"
92,6,2,2,0.0018,"[1,1]"
93,4,2,2,0.0018,"[2,3]"
94,4,2,2,0.002,"[1,2]"
